Nacional	Comunidades y Ciudades Autónomas	Covid-19	Sexo	Edad	Total
Total nacional	Andalucía	Covid-19 Virus identificado	Total	De 80 a 84 años	1.060
Total nacional	Andalucía	Covid-19 Virus identificado	Total	De 85 a 89 años	1.311
Total nacional	Andalucía	Covid-19 Virus identificado	Total	De 90 a 94 años	769
Total nacional	Andalucía	Covid-19 Virus identificado	Total	95 y más años	314
Total nacional	Andalucía	Covid-19 Virus identificado	Hombres	Total	3.180
Total nacional	Andalucía	Covid-19 Virus identificado	Hombres	De 0 a 49 años	70
Total nacional	Andalucía	Covid-19 Virus identificado	Hombres	De 50 a 54 años	74
Total nacional	Andalucía	Covid-19 Virus identificado	Hombres	De 55 a 59 años	108
Total nacional	Andalucía	Covid-19 Virus identificado	Hombres	De 60 a 64 años	193
Total nacional	Andalucía	Covid-19 Virus identificado	Hombres	De 65 a 69 años	283
Total nacional	Andalucía	Covid-19 Virus identificado	Hombres	De 70 a 74 años	345
Total nacional	Andalucía	Covid-19 Virus identificado	Hombres	De 75 a 79 años	529
Total nacional	Andalucía	Covid-19 Virus identificado	Hombres	De 80 a 84 años	579
Total nacional	Andalucía	Covid-19 Virus identificado	Hombres	De 85 a 89 años	620
Total nacional	Andalucía	Covid-19 Virus identificado	Hombres	De 90 a 94 años	287
Total nacional	Andalucía	Covid-19 Virus identificado	Hombres	95 y más años	92
Total nacional	Andalucía	Covid-19 Virus identificado	Mujeres	Total	2.641
Total nacional	Andalucía	Covid-19 Virus identificado	Mujeres	De 0 a 49 años	33
Total nacional	Andalucía	Covid-19 Virus identificado	Mujeres	De 50 a 54 años	14
Total nacional	Andalucía	Covid-19 Virus identificado	Mujeres	De 55 a 59 años	45
Total nacional	Andalucía	Covid-19 Virus identificado	Mujeres	De 60 a 64 años	98
Total nacional	Andalucía	Covid-19 Virus identificado	Mujeres	De 65 a 69 años	90
Total nacional	Andalucía	Covid-19 Virus identificado	Mujeres	De 70 a 74 años	176
Total nacional	Andalucía	Covid-19 Virus identificado	Mujeres	De 75 a 79 años	309
Total nacional	Andalucía	Covid-19 Virus identificado	Mujeres	De 80 a 84 años	481
Total nacional	Andalucía	Covid-19 Virus identificado	Mujeres	De 85 a 89 años	691
Total nacional	Andalucía	Covid-19 Virus identificado	Mujeres	De 90 a 94 años	482
Total nacional	Andalucía	Covid-19 Virus identificado	Mujeres	95 y más años	222
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Total	Total	696
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Total	De 0 a 49 años	14
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Total	De 50 a 54 años	11
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Total	De 55 a 59 años	13
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Total	De 60 a 64 años	19
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Total	De 65 a 69 años	21
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Total	De 70 a 74 años	50
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Total	De 75 a 79 años	65
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Total	De 80 a 84 años	148
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Total	De 85 a 89 años	178
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Total	De 90 a 94 años	132
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Total	95 y más años	45
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Hombres	Total	353
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Hombres	De 0 a 49 años	10
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Hombres	De 50 a 54 años	10
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Hombres	De 55 a 59 años	9
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Hombres	De 60 a 64 años	14
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Hombres	De 65 a 69 años	14
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Hombres	De 70 a 74 años	35
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Hombres	De 75 a 79 años	44
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Hombres	De 80 a 84 años	88
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Hombres	De 85 a 89 años	65
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Hombres	De 90 a 94 años	47
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Hombres	95 y más años	17
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Mujeres	Total	343
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 0 a 49 años	4
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 50 a 54 años	1
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 55 a 59 años	4
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 60 a 64 años	5
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 65 a 69 años	7
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 70 a 74 años	15
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 75 a 79 años	21
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 80 a 84 años	60
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 85 a 89 años	113
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Mujeres	De 90 a 94 años	85
Total nacional	Andalucía	Covid-19 Virus no identificado (sospechoso)	Mujeres	95 y más años	28
Total nacional	Andalucía	Otras causas	Total	Total	72.392
Total nacional	Andalucía	Otras causas	Total	De 0 a 49 años	3.117
Total nacional	Andalucía	Otras causas	Total	De 50 a 54 años	1.999
Total nacional	Andalucía	Otras causas	Total	De 55 a 59 años	3.002
Total nacional	Andalucía	Otras causas	Total	De 60 a 64 años	3.724
Total nacional	Andalucía	Otras causas	Total	De 65 a 69 años	4.559
Total nacional	Andalucía	Otras causas	Total	De 70 a 74 años	6.342
Total nacional	Andalucía	Otras causas	Total	De 75 a 79 años	8.414
Total nacional	Andalucía	Otras causas	Total	De 80 a 84 años	11.624
Total nacional	Andalucía	Otras causas	Total	De 85 a 89 años	14.992
Total nacional	Andalucía	Otras causas	Total	De 90 a 94 años	10.523
Total nacional	Andalucía	Otras causas	Total	95 y más años	4.096
Total nacional	Andalucía	Otras causas	Hombres	Total	37.058
Total nacional	Andalucía	Otras causas	Hombres	De 0 a 49 años	2.048
Total nacional	Andalucía	Otras causas	Hombres	De 50 a 54 años	1.328
Total nacional	Andalucía	Otras causas	Hombres	De 55 a 59 años	2.019
Total nacional	Andalucía	Otras causas	Hombres	De 60 a 64 años	2.586
Total nacional	Andalucía	Otras causas	Hombres	De 65 a 69 años	3.113
Total nacional	Andalucía	Otras causas	Hombres	De 70 a 74 años	4.131
Total nacional	Andalucía	Otras causas	Hombres	De 75 a 79 años	5.010
Total nacional	Andalucía	Otras causas	Hombres	De 80 a 84 años	5.889
Total nacional	Andalucía	Otras causas	Hombres	De 85 a 89 años	6.318
Total nacional	Andalucía	Otras causas	Hombres	De 90 a 94 años	3.584
Total nacional	Andalucía	Otras causas	Hombres	95 y más años	1.032
Total nacional	Andalucía	Otras causas	Mujeres	Total	35.334
Total nacional	Andalucía	Otras causas	Mujeres	De 0 a 49 años	1.069
Total nacional	Andalucía	Otras causas	Mujeres	De 50 a 54 años	671
Total nacional	Andalucía	Otras causas	Mujeres	De 55 a 59 años	983
Total nacional	Andalucía	Otras causas	Mujeres	De 60 a 64 años	1.138
Total nacional	Andalucía	Otras causas	Mujeres	De 65 a 69 años	1.446
Total nacional	Andalucía	Otras causas	Mujeres	De 70 a 74 años	2.211
Total nacional	Andalucía	Otras causas	Mujeres	De 75 a 79 años	3.404
Total nacional	Andalucía	Otras causas	Mujeres	De 80 a 84 años	5.735
Total nacional	Andalucía	Otras causas	Mujeres	De 85 a 89 años	8.674
Total nacional	Andalucía	Otras causas	Mujeres	De 90 a 94 años	6.939
Total nacional	Andalucía	Otras causas	Mujeres	95 y más años	3.064
Total nacional	Aragón	Total	Total	Total	16.680
Total nacional	Aragón	Total	Total	De 0 a 49 años	413
Total nacional	Aragón	Total	Total	De 50 a 54 años	272
Total nacional	Aragón	Total	Total	De 55 a 59 años	444
Total nacional	Aragón	Total	Total	De 60 a 64 años	606
Total nacional	Aragón	Total	Total	De 65 a 69 años	794
Total nacional	Aragón	Total	Total	De 70 a 74 años	1.186
Total nacional	Aragón	Total	Total	De 75 a 79 años	1.582
Total nacional	Aragón	Total	Total	De 80 a 84 años	2.291
Total nacional	Aragón	Total	Total	De 85 a 89 años	3.773
Total nacional	Aragón	Total	Total	De 90 a 94 años	3.456
Total nacional	Aragón	Total	Total	95 y más años	1.863
Total nacional	Aragón	Total	Hombres	Total	8.237
Total nacional	Aragón	Total	Hombres	De 0 a 49 años	274
Total nacional	Aragón	Total	Hombres	De 50 a 54 años	174
Total nacional	Aragón	Total	Hombres	De 55 a 59 años	305
Total nacional	Aragón	Total	Hombres	De 60 a 64 años	429
Total nacional	Aragón	Total	Hombres	De 65 a 69 años	530
Total nacional	Aragón	Total	Hombres	De 70 a 74 años	820
Total nacional	Aragón	Total	Hombres	De 75 a 79 años	950
Total nacional	Aragón	Total	Hombres	De 80 a 84 años	1.202
Total nacional	Aragón	Total	Hombres	De 85 a 89 años	1.695
Total nacional	Aragón	Total	Hombres	De 90 a 94 años	1.321
Total nacional	Aragón	Total	Hombres	95 y más años	537
Total nacional	Aragón	Total	Mujeres	Total	8.443
Total nacional	Aragón	Total	Mujeres	De 0 a 49 años	139
Total nacional	Aragón	Total	Mujeres	De 50 a 54 años	98
Total nacional	Aragón	Total	Mujeres	De 55 a 59 años	139
Total nacional	Aragón	Total	Mujeres	De 60 a 64 años	177
Total nacional	Aragón	Total	Mujeres	De 65 a 69 años	264
Total nacional	Aragón	Total	Mujeres	De 70 a 74 años	366
Total nacional	Aragón	Total	Mujeres	De 75 a 79 años	632
Total nacional	Aragón	Total	Mujeres	De 80 a 84 años	1.089
Total nacional	Aragón	Total	Mujeres	De 85 a 89 años	2.078
Total nacional	Aragón	Total	Mujeres	De 90 a 94 años	2.135
Total nacional	Aragón	Total	Mujeres	95 y más años	1.326
Total nacional	Aragón	Covid-19 Virus identificado	Total	Total	2.653
Total nacional	Aragón	Covid-19 Virus identificado	Total	De 0 a 49 años	15
Total nacional	Aragón	Covid-19 Virus identificado	Total	De 50 a 54 años	15
Total nacional	Aragón	Covid-19 Virus identificado	Total	De 55 a 59 años	32
Total nacional	Aragón	Covid-19 Virus identificado	Total	De 60 a 64 años	70
Total nacional	Aragón	Covid-19 Virus identificado	Total	De 65 a 69 años	102
Total nacional	Aragón	Covid-19 Virus identificado	Total	De 70 a 74 años	158
Total nacional	Aragón	Covid-19 Virus identificado	Total	De 75 a 79 años	285
Total nacional	Aragón	Covid-19 Virus identificado	Total	De 80 a 84 años	415
Total nacional	Aragón	Covid-19 Virus identificado	Total	De 85 a 89 años	653
Total nacional	Aragón	Covid-19 Virus identificado	Total	De 90 a 94 años	606
Total nacional	Aragón	Covid-19 Virus identificado	Total	95 y más años	302
Total nacional	Aragón	Covid-19 Virus identificado	Hombres	Total	1.355
Total nacional	Aragón	Covid-19 Virus identificado	Hombres	De 0 a 49 años	11
Total nacional	Aragón	Covid-19 Virus identificado	Hombres	De 50 a 54 años	11
Total nacional	Aragón	Covid-19 Virus identificado	Hombres	De 55 a 59 años	24
Total nacional	Aragón	Covid-19 Virus identificado	Hombres	De 60 a 64 años	56
Total nacional	Aragón	Covid-19 Virus identificado	Hombres	De 65 a 69 años	66
Total nacional	Aragón	Covid-19 Virus identificado	Hombres	De 70 a 74 años	113
Total nacional	Aragón	Covid-19 Virus identificado	Hombres	De 75 a 79 años	188
Total nacional	Aragón	Covid-19 Virus identificado	Hombres	De 80 a 84 años	230
Total nacional	Aragón	Covid-19 Virus identificado	Hombres	De 85 a 89 años	309
Total nacional	Aragón	Covid-19 Virus identificado	Hombres	De 90 a 94 años	241
Total nacional	Aragón	Covid-19 Virus identificado	Hombres	95 y más años	106
Total nacional	Aragón	Covid-19 Virus identificado	Mujeres	Total	1.298
Total nacional	Aragón	Covid-19 Virus identificado	Mujeres	De 0 a 49 años	4
Total nacional	Aragón	Covid-19 Virus identificado	Mujeres	De 50 a 54 años	4
Total nacional	Aragón	Covid-19 Virus identificado	Mujeres	De 55 a 59 años	8
Total nacional	Aragón	Covid-19 Virus identificado	Mujeres	De 60 a 64 años	14
Total nacional	Aragón	Covid-19 Virus identificado	Mujeres	De 65 a 69 años	36
Total nacional	Aragón	Covid-19 Virus identificado	Mujeres	De 70 a 74 años	45
Total nacional	Aragón	Covid-19 Virus identificado	Mujeres	De 75 a 79 años	97
Total nacional	Aragón	Covid-19 Virus identificado	Mujeres	De 80 a 84 años	185
Total nacional	Aragón	Covid-19 Virus identificado	Mujeres	De 85 a 89 años	344
Total nacional	Aragón	Covid-19 Virus identificado	Mujeres	De 90 a 94 años	365
Total nacional	Aragón	Covid-19 Virus identificado	Mujeres	95 y más años	196
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Total	Total	289
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Total	De 0 a 49 años	3
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Total	De 50 a 54 años	3
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Total	De 55 a 59 años	3
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Total	De 60 a 64 años	2
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Total	De 65 a 69 años	8
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Total	De 70 a 74 años	10
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Total	De 75 a 79 años	24
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Total	De 80 a 84 años	34
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Total	De 85 a 89 años	80
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Total	De 90 a 94 años	86
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Total	95 y más años	36
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Hombres	Total	115
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Hombres	De 0 a 49 años	2
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Hombres	De 50 a 54 años	3
Total nacional	Aragón	Covid-19 Virus no identificado (sospechoso)	Hombres	De 55 a 59 años	1
